date,air_quality_pm2_5,air_quality_pm10,air_quality_ozone,air_quality_nitrogen_dioxide,air_quality_sulphur_dioxide,air_quality_carbon_monoxide,air_quality_ammonia,air_quality_aerosol_optical_depth,air_quality_dust,air_quality_uv_index,day,hour,dayofweek,avg_pm
2025-10-23 19:00:00,52.0,54.8,56.0,18.3,15.1,430.0,,0.27,5.0,0.0,23,19,3,53.4
2025-10-23 19:00:00,54.6,57.2,50.0,18.1,14.5,489.0,,0.28,5.0,0.0,23,19,3,55.9
2025-10-23 19:00:00,56.1,58.6,44.0,17.6,13.7,617.0,,0.28,4.0,0.0,23,19,3,57.35
2025-10-23 19:00:00,60.5,62.6,38.0,20.6,13.0,704.0,,0.29,4.0,0.0,23,19,3,61.55
2025-10-23 19:00:00,59.0,60.8,40.0,19.0,13.2,707.0,,0.29,4.0,0.0,23,19,3,59.9
2025-10-23 19:00:00,59.4,61.2,43.0,16.7,13.4,670.0,,0.29,3.0,0.15,23,19,3,60.300003
2025-10-23 19:00:00,53.4,54.8,54.0,14.0,13.4,615.0,,0.29,3.0,0.85,23,19,3,54.1
2025-10-23 19:00:00,46.8,48.4,79.0,10.4,13.2,537.0,,0.29,4.0,2.3,23,19,3,47.6
2025-10-23 19:00:00,41.4,44.2,112.0,6.4,12.8,441.0,,0.29,6.0,4.2,23,19,3,42.800003
2025-10-23 19:00:00,34.8,38.3,136.0,3.4,11.9,364.0,,0.28,7.0,5.85,23,19,3,36.55
2025-10-23 19:00:00,26.8,30.5,144.0,1.8,10.3,317.0,,0.27,8.0,6.45,23,19,3,28.65
2025-10-23 19:00:00,22.1,26.2,144.0,1.2,8.2,290.0,,0.27,9.0,5.85,23,19,3,24.150002
2025-10-23 19:00:00,20.7,25.3,140.0,1.4,6.6,283.0,,0.27,9.0,4.25,23,19,3,23.0
2025-10-23 19:00:00,20.4,25.3,133.0,2.7,5.6,305.0,,0.26,9.0,2.35,23,19,3,22.849998
2025-10-23 19:00:00,20.5,25.3,124.0,4.7,5.1,347.0,,0.26,8.0,0.9,23,19,3,22.9
2025-10-23 19:00:00,30.3,34.9,106.0,8.8,5.2,393.0,,0.29,9.0,0.15,23,19,3,32.6
2025-10-23 19:00:00,35.4,39.6,100.0,10.9,6.5,439.0,,0.27,8.0,0.0,23,19,3,37.5
2025-10-23 19:00:00,38.5,42.6,91.0,13.7,8.3,489.0,,0.25,8.0,0.0,23,19,3,40.55
2025-10-23 19:00:00,39.9,43.9,84.0,15.5,10.3,530.0,,0.23,7.0,0.0,23,19,3,41.9
2025-10-23 19:00:00,40.3,44.1,82.0,15.3,12.9,565.0,,0.21,7.0,0.0,23,19,3,42.199997
2025-10-23 19:00:00,40.7,44.6,81.0,14.0,15.7,591.0,,0.21,7.0,0.0,23,19,3,42.65
2025-10-23 19:00:00,41.0,44.7,79.0,13.0,17.3,591.0,,0.22,7.0,0.0,23,19,3,42.85
2025-10-23 19:00:00,40.3,43.9,73.0,12.7,16.8,541.0,,0.24,7.0,0.0,23,19,3,42.1
2025-10-23 19:00:00,40.2,43.7,67.0,12.6,15.1,465.0,,0.25,6.0,0.0,23,19,3,41.95
2025-10-23 19:00:00,40.2,43.4,61.0,12.2,13.2,413.0,,0.27,6.0,0.0,23,19,3,41.800003
2025-10-23 19:00:00,39.9,43.3,58.0,11.1,11.5,406.0,,0.29,6.0,0.0,23,19,3,41.6
2025-10-23 19:00:00,39.2,42.5,57.0,9.7,9.6,424.0,,0.29,6.0,0.0,23,19,3,40.85
2025-10-23 19:00:00,47.3,50.8,49.0,12.2,10.9,455.0,,0.3,7.0,0.0,23,19,3,49.05
