date,aqi,pm10_mean,ozone_mean,temperature_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,precipitation_mean,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_4,aqi_lag_5,aqi_lag_6,aqi_lag_7,aqi_roll_mean_3,aqi_roll_std_3,aqi_roll_mean_7,aqi_roll_std_7,aqi_diff_1,aqi_diff_7,day_of_week,month,day_of_year,is_weekend,day_of_year_sin,day_of_year_cos,temperature_2m_mean_lag_1,temperature_2m_mean_lag_2,temperature_2m_mean_lag_3,temperature_2m_mean_roll_mean_3,temperature_2m_mean_current,relative_humidity_2m_mean_lag_1,relative_humidity_2m_mean_lag_2,relative_humidity_2m_mean_lag_3,relative_humidity_2m_mean_roll_mean_3,relative_humidity_2m_mean_current,pressure_msl_mean_lag_1,pressure_msl_mean_lag_2,pressure_msl_mean_lag_3,pressure_msl_mean_roll_mean_3,pressure_msl_mean_current,wind_speed_10m_mean_lag_1,wind_speed_10m_mean_lag_2,wind_speed_10m_mean_lag_3,wind_speed_10m_mean_roll_mean_3,wind_speed_10m_mean_current,precipitation_mean_lag_1,precipitation_mean_lag_2,precipitation_mean_lag_3,precipitation_mean_roll_mean_3,precipitation_mean_current,pm10_mean_lag_1,pm10_mean_lag_2,pm10_mean_lag_3,pm10_mean_roll_mean_3,pm10_mean_current,ozone_mean_lag_1,ozone_mean_lag_2,ozone_mean_lag_3,ozone_mean_roll_mean_3,ozone_mean_current,target_next_day
2024-10-16,133.56107982037358,82.13333333333334,68.58333333333333,29.041666666666668,53.791666666666664,1008.0875,7.4750000000000005,0.0,114.19805113956625,118.3059584298539,107.03426377236684,96.88143237647465,103.44234764667401,103.70555477674496,101.31328764710535,113.1794244472623,5.704469770857654,106.41155654125514,7.477168782757928,19.363028680807332,32.24779217326822,2,10,290,0,-0.9620675724981452,0.27281126433401914,29.337500000000002,28.808333333333334,28.933333333333334,29.02638888888889,29.041666666666668,49.75,43.375,42.25,45.12500000000001,53.791666666666664,1010.4291666666667,1010.2666666666668,1009.0500000000001,1009.9152777777778,1008.0875,5.7875000000000005,6.920833333333333,6.191666666666666,6.3,7.4750000000000005,0.0,0.0,0.0,0.0,0.0,65.83333333333333,68.925,60.6,65.11944444444443,82.13333333333334,79.25,71.875,67.875,73.0,68.58333333333333,136.84932970599124
2024-10-17,136.84932970599124,86.52916666666665,65.79166666666667,29.245833333333334,48.5,1007.5875,6.429166666666667,0.0,133.56107982037358,114.19805113956625,118.3059584298539,107.03426377236684,96.88143237647465,103.44234764667401,103.70555477674496,122.02169646326456,10.202291496186337,111.01838399457915,12.233782273609794,3.2882498856176596,33.14377492924628,3,10,291,0,-0.957232443323312,0.28931997761869527,29.041666666666668,29.337500000000002,28.808333333333334,29.0625,29.245833333333334,53.791666666666664,49.75,43.375,48.97222222222223,48.5,1008.0875,1010.4291666666667,1010.2666666666668,1009.5944444444444,1007.5875,7.4750000000000005,5.7875000000000005,6.920833333333333,6.727777777777778,6.429166666666667,0.0,0.0,0.0,0.0,0.0,82.13333333333334,65.83333333333333,68.925,72.29722222222222,86.52916666666665,68.58333333333333,79.25,71.875,73.23611111111111,65.79166666666667,144.02909929222687
2024-10-18,144.02909929222687,103.64166666666667,71.75,29.833333333333332,44.708333333333336,1008.4125,5.6499999999999995,0.0,136.84932970599124,133.56107982037358,114.19805113956625,118.3059584298539,107.03426377236684,96.88143237647465,103.44234764667401,128.20282022197702,12.239416432833421,115.75320898447148,15.026769910678736,7.179769586235636,40.586751645552866,4,10,292,0,-0.9521140536681102,0.3057430764672831,29.245833333333334,29.041666666666668,29.337500000000002,29.208333333333332,29.833333333333332,48.5,53.791666666666664,49.75,50.680555555555564,44.708333333333336,1007.5875,1008.0875,1010.4291666666667,1008.7013888888888,1008.4125,6.429166666666667,7.4750000000000005,5.7875000000000005,6.56388888888889,5.6499999999999995,0.0,0.0,0.0,0.0,0.0,86.52916666666665,82.13333333333334,65.83333333333333,78.16527777777776,103.64166666666667,65.79166666666667,68.58333333333333,79.25,71.20833333333333,71.75,137.45238568265498
2024-10-19,137.45238568265498,91.42916666666667,76.25,29.6875,45.625,1009.375,6.916666666666667,0.0,144.02909929222687,136.84932970599124,133.56107982037358,114.19805113956625,118.3059584298539,107.03426377236684,96.88143237647465,138.14650293953056,5.353209477886883,121.55131636240762,17.163261176837736,-6.576713609571897,40.57095330618033,5,10,293,1,-0.9467139181463862,0.3220757010206104,29.833333333333332,29.245833333333334,29.041666666666668,29.373611111111114,29.6875,44.708333333333336,48.5,53.791666666666664,49.00000000000001,45.625,1008.4125,1007.5875,1008.0875,1008.0291666666667,1009.375,5.6499999999999995,6.429166666666667,7.4750000000000005,6.518055555555556,6.916666666666667,0.0,0.0,0.0,0.0,0.0,103.64166666666667,86.52916666666665,82.13333333333334,90.76805555555556,91.42916666666667,71.75,65.79166666666667,68.58333333333333,68.70833333333333,76.25,135.0128894372746
2024-10-20,135.0128894372746,88.75,71.20833333333333,29.441666666666666,41.541666666666664,1009.4125,8.304166666666667,0.0,137.45238568265498,144.02909929222687,136.84932970599124,133.56107982037358,114.19805113956625,118.3059584298539,107.03426377236684,139.44360489362433,3.982585628390543,127.34716683471909,14.00334993321383,-2.439496245380383,27.978625664907753,6,10,294,1,-0.9410336347451197,0.3383130181923076,29.6875,29.833333333333332,29.245833333333334,29.58888888888889,29.441666666666666,45.625,44.708333333333336,48.5,46.27777777777779,41.541666666666664,1009.375,1008.4125,1007.5875,1008.4583333333334,1009.4125,6.916666666666667,5.6499999999999995,6.429166666666667,6.331944444444445,8.304166666666667,0.0,0.0,0.0,0.0,0.0,91.42916666666667,103.64166666666667,86.52916666666665,93.86666666666666,88.75,76.25,71.75,65.79166666666667,71.2638888888889,71.20833333333333,128.42061784138943
2024-10-21,128.42061784138943,81.675,78.625,29.09166666666667,41.333333333333336,1010.2083333333334,6.5249999999999995,0.0,135.0128894372746,137.45238568265498,144.02909929222687,136.84932970599124,133.56107982037358,114.19805113956625,118.3059584298539,138.83145813738545,4.663624198376888,131.34411335827735,10.884875268966548,-6.592271595885165,10.114659411535527,0,10,295,0,-0.9350748843515574,0.3544502230989869,29.441666666666666,29.6875,29.833333333333332,29.654166666666665,29.09166666666667,41.541666666666664,45.625,44.708333333333336,43.95833333333334,41.333333333333336,1009.4125,1009.375,1008.4125,1009.0666666666666,1010.2083333333334,8.304166666666667,6.916666666666667,5.6499999999999995,6.956944444444445,6.5249999999999995,0.0,0.0,0.0,0.0,0.0,88.75,91.42916666666667,103.64166666666667,94.60694444444444,81.675,71.20833333333333,76.25,71.75,73.06944444444444,78.625,138.8086608777019
2024-10-22,138.8086608777019,90.33333333333333,75.375,29.8875,43.875,1011.1875,8.408333333333333,0.0,128.42061784138943,135.0128894372746,137.45238568265498,144.02909929222687,136.84932970599124,133.56107982037358,114.19805113956625,133.62863098710633,4.672294530237095,132.7890647027824,9.4412323446107,10.388043036312467,24.61060973813565,1,10,296,0,-0.9288394302558068,0.3704825404820963,29.09166666666667,29.441666666666666,29.6875,29.406944444444445,29.8875,41.333333333333336,41.541666666666664,45.625,42.83333333333334,43.875,1010.2083333333334,1009.4125,1009.375,1009.6652777777778,1011.1875,6.5249999999999995,8.304166666666667,6.916666666666667,7.248611111111111,8.408333333333333,0.0,0.0,0.0,0.0,0.0,81.675,88.75,91.42916666666667,87.28472222222221,90.33333333333333,78.625,71.20833333333333,76.25,75.36111111111111,75.375,142.97514199907158
2024-10-23,142.97514199907158,98.6125,68.33333333333333,29.420833333333334,37.166666666666664,1012.1708333333332,7.520833333333333,0.0,138.8086608777019,128.42061784138943,135.0128894372746,137.45238568265498,144.02909929222687,136.84932970599124,133.56107982037358,134.08072271878862,5.25638284606121,136.30486609394464,4.811530351774227,4.166481121369685,9.414062178698003,2,10,297,0,-0.9223291176290545,0.3864052261209853,29.8875,29.09166666666667,29.441666666666666,29.47361111111111,29.420833333333334,43.875,41.333333333333336,41.541666666666664,42.25000000000001,37.166666666666664,1011.1875,1010.2083333333334,1009.4125,1010.2694444444445,1012.1708333333332,8.408333333333333,6.5249999999999995,8.304166666666667,7.745833333333334,7.520833333333333,0.0,0.0,0.0,0.0,0.0,90.33333333333333,81.675,88.75,86.91944444444444,98.6125,75.375,78.625,71.20833333333333,75.06944444444444,68.33333333333333,133.34970184387933
2024-10-24,133.34970184387933,88.91666666666667,68.83333333333333,29.52916666666667,37.916666666666664,1011.9333333333334,5.245833333333334,0.0,142.97514199907158,138.8086608777019,128.42061784138943,135.0128894372746,137.45238568265498,144.02909929222687,136.84932970599124,136.73480690605427,7.495611788635572,137.64973211947293,5.2154979165528985,-9.625440155192251,-3.4996278621119075,3,10,298,0,-0.9155458729775467,0.40221356823680365,29.420833333333334,29.8875,29.09166666666667,29.46666666666667,29.52916666666667,37.166666666666664,43.875,41.333333333333336,40.79166666666668,37.916666666666664,1012.1708333333332,1011.1875,1010.2083333333334,1011.1888888888889,1011.9333333333334,7.520833333333333,8.408333333333333,6.5249999999999995,7.484722222222222,5.245833333333334,0.0,0.0,0.0,0.0,0.0,98.6125,90.33333333333333,81.675,90.20694444444443,88.91666666666667,68.33333333333333,75.375,78.625,74.1111111111111,68.83333333333333,130.55641219134773
2024-10-25,130.55641219134773,90.72916666666667,70.375,29.662499999999998,38.875,1010.5833333333334,6.054166666666667,0.0,133.34970184387933,142.97514199907158,138.8086608777019,128.42061784138943,135.0128894372746,137.45238568265498,144.02909929222687,138.37783490688423,4.827160946990414,137.14978528202838,5.4666946072104725,-2.793289652531598,-13.472687100879142,4,10,299,0,-0.9084917035725082,0.41790288888678667,29.52916666666667,29.420833333333334,29.8875,29.6125,29.662499999999998,37.916666666666664,37.166666666666664,43.875,39.65277777777778,38.875,1011.9333333333334,1012.1708333333332,1011.1875,1011.7638888888888,1010.5833333333334,5.245833333333334,7.520833333333333,8.408333333333333,7.058333333333334,6.054166666666667,0.0,0.0,0.0,0.0,0.0,88.91666666666667,98.6125,90.33333333333333,92.62083333333332,90.72916666666667,68.83333333333333,68.33333333333333,75.375,70.84722222222221,70.375,135.51242516401555
