date,aqi_mean,pm2_5_mean,pm10_mean,ozone_mean,carbon_monoxide_mean,nitrogen_dioxide_mean,sulphur_dioxide_mean,temperature_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,precipitation_mean
2024-01-01,159.96686276482518,73.10000000000001,105.16250000000001,93.70833333333333,1244.0416666666667,14.275,19.6375,14.641666666666666,80.58333333333333,1018.9208333333332,6.5874999999999995,0.0
2024-01-02,160.3119485290873,73.82916666666667,107.13333333333333,93.20833333333333,1158.8333333333333,15.4125,20.579166666666666,13.908333333333333,80.875,1017.8125,6.5125,0.0
2024-01-03,136.69799554680682,56.225,84.96666666666667,75.20833333333333,742.5,12.833333333333334,10.1875,13.716666666666667,75.91666666666667,1017.6208333333334,7.479166666666667,0.0
2024-01-04,160.05518967334035,73.03750000000001,112.78750000000001,91.29166666666667,913.8333333333334,11.758333333333333,13.629166666666668,13.025,77.91666666666667,1018.8375,7.3374999999999995,0.0
2024-01-05,161.97725323138346,77.02499999999999,116.71249999999999,84.375,1063.5,12.758333333333333,15.433333333333332,12.720833333333333,82.125,1018.75,6.825,0.05833333333333334
2024-01-06,165.1453723217422,82.89583333333333,122.9375,92.58333333333333,1166.625,11.5375,19.0,13.658333333333333,78.875,1020.0291666666667,7.691666666666666,0.0
2024-01-07,163.07143484369513,78.87916666666666,114.97083333333335,104.20833333333333,1256.5416666666667,10.279166666666667,21.545833333333334,13.195833333333333,80.08333333333333,1020.4166666666666,7.058333333333334,0.0
2024-01-08,159.891684229013,72.72083333333333,106.8125,98.33333333333333,1207.4583333333333,8.954166666666667,15.295833333333334,12.637500000000001,76.33333333333333,1020.0375,7.483333333333333,0.0
2024-01-09,162.97636077295505,79.02083333333333,117.7,93.04166666666667,1231.5,12.183333333333332,16.545833333333334,12.608333333333334,80.08333333333333,1021.875,8.558333333333334,0.0
2024-01-10,160.16054588008535,86.45,133.32500000000002,62.083333333333336,1436.2916666666667,27.391666666666666,12.708333333333334,13.762500000000001,70.33333333333333,1020.2583333333333,6.0375000000000005,0.0
2024-01-11,155.10408103048502,83.08749999999999,122.55,59.625,1499.0416666666667,29.40416666666667,10.862499999999999,14.549999999999999,67.0,1018.9125,4.8500000000000005,0.0
2024-01-12,142.49409289930102,67.04166666666667,98.11666666666667,59.583333333333336,1266.5416666666667,25.55,10.4,14.666666666666666,66.33333333333333,1017.6458333333334,6.016666666666667,0.0
2024-01-13,149.7328498822815,68.89166666666667,101.125,66.79166666666667,1108.125,20.04583333333333,11.579166666666666,15.058333333333332,68.625,1016.4125,5.204166666666667,0.0
2024-01-14,168.4326923076923,89.2625,130.87083333333334,86.33333333333333,1212.125,15.583333333333334,24.266666666666666,14.450000000000001,74.95833333333333,1018.1750000000001,7.875,0.0
2024-01-15,169.8698191078328,92.04583333333333,133.48333333333332,79.70833333333333,1465.3333333333333,20.325,22.34166666666667,14.7125,75.375,1016.6291666666666,6.241666666666667,0.0
2024-01-16,147.93267278976563,65.9875,99.2375,73.125,1098.2083333333333,14.174999999999999,16.2375,15.208333333333334,74.29166666666667,1013.1583333333333,7.645833333333333,0.0
2024-01-17,165.60576923076923,83.78750000000001,122.7625,103.83333333333333,1102.625,7.7875000000000005,19.775,14.533333333333333,73.625,1014.8000000000001,10.495833333333334,0.0
2024-01-18,168.10998419388832,88.6375,128.525,110.66666666666667,1532.875,13.4625,19.75,14.366666666666667,77.04166666666667,1017.3166666666666,7.195833333333333,0.0
2024-01-19,169.1749209694415,90.7,134.9375,98.83333333333333,1518.3333333333333,16.208333333333332,22.541666666666668,14.779166666666667,71.95833333333333,1017.4499999999999,6.116666666666667,0.0
2024-01-20,167.22576396206532,86.925,132.31666666666666,104.54166666666667,1359.5416666666667,14.799999999999999,18.254166666666666,15.395833333333334,73.41666666666667,1017.9416666666666,5.9750000000000005,0.0
2024-01-21,169.51053740779767,91.35000000000001,140.1875,107.08333333333333,1210.4583333333333,12.987499999999999,16.954166666666666,15.066666666666668,75.33333333333333,1018.6916666666666,6.5375000000000005,0.0
2024-01-22,171.59738321039688,95.39166666666667,152.46666666666667,83.29166666666667,1253.9166666666667,17.791666666666668,14.1625,15.525,74.91666666666667,1017.1999999999999,5.9125000000000005,0.0
2024-01-23,166.06401475237092,84.675,131.275,97.625,1078.875,11.233333333333334,19.566666666666666,13.841666666666667,78.70833333333333,1018.875,9.579166666666667,0.0
2024-01-24,160.98889181594663,74.84583333333333,117.62916666666666,86.125,1065.7916666666667,12.362499999999999,12.854166666666666,13.029166666666667,80.95833333333333,1018.5958333333333,5.291666666666667,0.0
2024-01-25,142.43082465365111,54.51666666666667,83.125,80.83333333333333,743.7916666666666,6.395833333333333,9.341666666666667,13.975,76.08333333333333,1019.2791666666667,9.225,0.0
2024-01-26,164.4827449947313,81.6125,123.92916666666667,99.5,1008.2916666666666,9.049999999999999,19.129166666666666,14.258333333333333,70.83333333333333,1021.4416666666666,9.6,0.0
2024-01-27,163.94031317458385,80.85833333333333,123.29166666666667,86.16666666666667,1210.0833333333333,15.266666666666666,16.3,14.595833333333333,70.0,1020.8833333333333,8.541666666666666,0.0
2024-01-28,160.96799836025932,79.64583333333333,127.90833333333335,77.33333333333333,1395.875,22.15833333333333,14.120833333333332,16.045833333333334,67.58333333333333,1016.85,6.158333333333334,0.0
2024-01-29,144.58255803075795,55.84166666666667,92.43333333333334,82.70833333333333,902.9583333333334,9.975,11.229166666666666,17.775000000000002,66.125,1017.1583333333333,8.75,0.0
