pm2_5,pm10,ozone,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,timestamp,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_direction_10m,precipitation
115.3,119.0,52.0,891.0,19.4,19.6,2024-12-26 00:00:00,12.4,67,1021.4,7.6,45,0.0
110.1,113.6,52.0,860.0,17.1,18.8,2024-12-26 01:00:00,11.6,71,1021.0,6.6,37,0.0
107.6,111.1,52.0,846.0,15.1,18.1,2024-12-26 02:00:00,10.7,76,1021.1,5.8,14,0.0
105.9,109.2,52.0,856.0,13.4,17.3,2024-12-26 03:00:00,10.1,79,1021.0,5.8,353,0.0
103.4,106.4,52.0,882.0,12.1,16.7,2024-12-26 04:00:00,9.4,82,1021.0,5.8,351,0.0
102.0,106.2,47.0,919.0,13.5,16.0,2024-12-26 05:00:00,9.0,85,1021.1,5.8,356,0.0
99.9,103.4,44.0,990.0,15.7,16.2,2024-12-26 06:00:00,8.8,86,1021.2,6.3,3,0.0
102.9,106.2,40.0,1072.0,18.6,16.6,2024-12-26 07:00:00,8.8,87,1021.9,6.3,24,0.0
110.4,113.2,44.0,1089.0,19.6,17.7,2024-12-26 08:00:00,9.8,81,1022.5,7.5,35,0.0
104.8,106.4,60.0,988.0,17.0,20.5,2024-12-26 09:00:00,12.9,64,1023.3,6.1,28,0.0
96.2,97.3,83.0,822.0,12.4,24.0,2024-12-26 10:00:00,16.5,48,1023.9,4.8,20,0.0
84.1,85.4,104.0,678.0,8.4,26.1,2024-12-26 11:00:00,19.3,40,1023.7,7.0,26,0.0
75.9,77.8,123.0,580.0,5.5,25.5,2024-12-26 12:00:00,20.6,37,1022.4,8.9,29,0.0
68.2,70.5,141.0,504.0,3.2,23.5,2024-12-26 13:00:00,21.4,32,1021.1,9.9,25,0.0
61.0,63.3,150.0,465.0,2.2,21.8,2024-12-26 14:00:00,21.8,29,1020.2,10.9,19,0.0
57.7,60.1,147.0,466.0,2.6,21.1,2024-12-26 15:00:00,21.7,28,1019.7,11.5,17,0.0
56.1,58.4,136.0,505.0,4.4,20.7,2024-12-26 16:00:00,21.1,29,1019.4,10.9,16,0.0
57.2,58.9,118.0,589.0,8.1,20.8,2024-12-26 17:00:00,19.7,33,1019.4,7.9,13,0.0
67.8,69.6,102.0,738.0,15.1,20.8,2024-12-26 18:00:00,17.0,42,1019.4,6.2,17,0.0
82.4,84.1,79.0,932.0,24.8,20.7,2024-12-26 19:00:00,15.5,49,1020.2,6.1,23,0.0
95.9,97.8,60.0,1119.0,32.0,20.2,2024-12-26 20:00:00,14.3,54,1020.6,6.1,28,0.0
105.5,107.6,48.0,1313.0,34.7,19.2,2024-12-26 21:00:00,13.3,58,1020.7,6.0,27,0.0
112.2,114.3,40.0,1498.0,35.0,17.8,2024-12-26 22:00:00,12.6,61,1020.8,6.0,16,0.0
113.4,115.7,35.0,1579.0,33.8,16.2,2024-12-26 23:00:00,12.0,64,1020.9,6.7,360,0.0
106.2,108.5,32.0,1481.0,30.9,14.1,2024-12-27 00:00:00,11.3,67,1020.6,7.2,360,0.0
95.7,98.0,32.0,1278.0,26.6,11.9,2024-12-27 01:00:00,10.5,71,1020.4,6.3,360,0.0
86.4,88.9,33.0,1092.0,22.8,10.2,2024-12-27 02:00:00,10.1,74,1020.1,6.5,358,0.0
79.6,82.2,35.0,944.0,19.9,9.5,2024-12-27 03:00:00,9.5,76,1019.9,6.1,355,0.0
75.9,78.5,37.0,814.0,17.4,9.4,2024-12-27 04:00:00,8.9,80,1019.7,6.0,353,0.0
75.2,77.3,43.0,763.0,14.5,10.9,2024-12-27 05:00:00,8.5,82,1019.6,5.8,360,0.0
77.1,79.2,37.0,870.0,17.3,11.4,2024-12-27 06:00:00,8.9,80,1019.7,6.0,357,0.0
84.1,85.9,31.0,1056.0,21.0,12.1,2024-12-27 07:00:00,8.6,81,1020.3,5.8,353,0.0
96.2,98.3,33.0,1148.0,22.3,13.6,2024-12-27 08:00:00,9.7,74,1020.9,6.3,336,0.0
85.4,86.8,52.0,1050.0,18.8,17.1,2024-12-27 09:00:00,12.8,58,1021.8,4.9,336,0.0
74.5,75.9,81.0,857.0,12.9,21.4,2024-12-27 10:00:00,16.3,45,1022.3,4.6,329,0.0
57.2,59.0,104.0,683.0,8.0,23.0,2024-12-27 11:00:00,19.3,34,1021.9,6.5,332,0.0
42.6,44.7,118.0,556.0,5.1,19.5,2024-12-27 12:00:00,21.2,29,1020.9,7.9,336,0.0
30.4,32.1,127.0,447.0,3.2,13.3,2024-12-27 13:00:00,22.3,23,1019.6,8.9,333,0.0
22.5,24.0,129.0,384.0,2.5,8.2,2024-12-27 14:00:00,22.8,21,1018.9,9.5,333,0.0
17.5,19.2,123.0,366.0,2.8,5.5,2024-12-27 15:00:00,22.8,20,1018.6,9.7,331,0.0
15.5,17.3,111.0,394.0,4.3,4.0,2024-12-27 16:00:00,22.3,20,1018.2,9.2,332,0.0
24.4,26.7,97.0,503.0,7.9,3.3,2024-12-27 17:00:00,20.6,24,1018.4,5.5,333,0.0
34.0,36.2,82.0,741.0,15.4,4.2,2024-12-27 18:00:00,17.1,32,1018.8,6.1,302,0.0
49.2,51.5,61.0,1061.0,26.0,5.5,2024-12-27 19:00:00,15.5,38,1019.5,6.2,322,0.0
66.6,69.4,43.0,1353.0,35.4,7.0,2024-12-27 20:00:00,14.5,42,1019.8,3.3,338,0.0
83.6,87.8,33.0,1599.0,42.5,8.9,2024-12-27 21:00:00,13.3,48,1020.2,4.3,28,0.0
100.1,104.8,25.0,1818.0,48.4,11.0,2024-12-27 22:00:00,12.7,53,1020.4,3.2,52,0.0
112.7,117.6,20.0,1958.0,52.5,12.5,2024-12-27 23:00:00,12.2,57,1020.2,1.9,41,0.0
119.2,124.3,16.0,1980.0,54.0,13.1,2024-12-28 00:00:00,10.7,65,1020.3,5.2,333,0.0
121.5,126.7,13.0,1923.0,53.6,13.1,2024-12-28 01:00:00,10.1,65,1020.1,6.0,343,0.0
123.4,128.5,11.0,1851.0,52.8,13.1,2024-12-28 02:00:00,10.1,65,1019.6,2.1,345,0.0
124.3,129.9,10.0,1736.0,52.0,13.1,2024-12-28 03:00:00,10.1,66,1019.7,0.8,297,0.0
124.8,130.4,10.0,1605.0,50.9,13.1,2024-12-28 04:00:00,9.5,69,1019.5,1.2,297,0.0
131.8,137.4,9.0,1603.0,48.3,13.0,2024-12-28 05:00:00,9.0,72,1019.4,1.4,293,0.0
131.3,136.9,8.0,1916.0,46.6,13.5,2024-12-28 06:00:00,8.3,77,1019.7,1.3,254,0.0
134.6,140.2,9.0,2358.0,43.8,14.0,2024-12-28 07:00:00,7.7,81,1020.3,2.6,245,0.0
